url,category,source
https://www.washingtontimes.com/rss/headlines/culture/home-living/,Lifestyle,Washinton Times
https://www.washingtontimes.com/atom/headlines/culture/health/,Health,Washinton Times
https://www.washingtontimes.com/rss/headlines/culture/entertainment/,Entertainment,Washinton Times
https://www.washingtontimes.com/rss/headlines/news/business-economy/,Business,Washinton Times
https://www.washingtontimes.com/rss/headlines/news/national/,News,Washinton Times
https://www.washingtontimes.com/rss/headlines/news/world/,News,Washinton Times
http://thehill.com/rss/syndicator/19109,News,The Hill
http://thehill.com/taxonomy/term/20/feed,Business,The Hill
https://www.politico.com/rss/politics08.xml,Politics,Politico
https://www.politico.com/rss/economy.xml,Business,Politico
http://feeds.newscientist.com/science-news,Science,New Scientist
http://feeds.newscientist.com/health,Health,New Scientist
http://feeds.newscientist.com/tech,Technology,New Scientist
http://feeds2.feedburner.com/thenextweb,News,The Next Web
http://feeds.feedburner.com/time/newsfeed,News,Time
http://feeds.feedburner.com/timeblogs/swampland,Politics,Time
http://feeds2.feedburner.com/time/world,News,Time
http://feeds2.feedburner.com/time/business,News,Time
http://feeds.feedburner.com/timeblogs/nerd_world,Technology,Time
http://feeds.feedburner.com/time/healthland,Health,Time
http://feeds2.feedburner.com/time/scienceandhealth,Science,Time
http://feeds2.feedburner.com/time/entertainment,Entertainment,Time
https://www.theverge.com/rss/index.xml,News,The Verge
https://www.vice.com/en_us/rss,News,Vice
https://www.recode.net/rss/current,News,Recode
http://www.nydailynews.com/cmlink/NYDN.Sports.rss,Sports,New York Daily News
http://www.nydailynews.com/cmlink/NYDN.News.National.rss,News,New York Daily News
http://www.nydailynews.com/cmlink/NYDN.News.World.rss,News,New York Daily News
http://www.nydailynews.com/cmlink/NYDN.News.Politics.rss,Politics,New York Daily News
http://www.nydailynews.com/cmlink/NYDN.Entertainment.rss,Entertainment,New York Daily News
http://www.nydailynews.com/cmlink/NYDN.Life_Style.rss,Lifestyle,New York Daily News
http://www.nydailynews.com/cmlink/NYDN.Life_Style.Health.rss,Health,New York Daily News
https://www.newyorker.com/feed/culture,Entertainment,The New Yorker
https://www.newyorker.com/feed/news,News,The New Yorker
https://www.newyorker.com/feed/tech,Technology,The New Yorker
https://www.newyorker.com/feed/business,Business,The New Yorker
https://www.newyorker.com/feed/news/sporting-scene,Sports,The New Yorker
http://nymag.com/rss/Business_and_Money.xml,Business,NYMag
http://nymag.com/rss/People.xml,Entertainment,NYMag
http://nymag.com/rss/Politics.xml,Politics,NYMag
http://nymag.com/rss/Sports.xml,Sports,NYMag
http://nymag.com/rss/Tech.xml,Technology,NYMag
http://nymag.com/rss/Travel.xml,Lifestyle,NYMag
https://rss.medicalnewstoday.com/featurednews.xml,Health,Medical News Today
http://markets.businessinsider.com/rss/news,Business,Business Insider
http://www.espn.com/espn/rss/nfl/news,Sports,ESPN
http://www.espn.com/espn/rss/nba/news,Sports,ESPN
http://www.espn.com/espn/rss/mlb/news,Sports,ESPN
http://www.espn.com/espn/rss/nhl/news,Sports,ESPN
http://www.espn.com/espn/rss/rpm/news,Sports,ESPN
http://www.espnfc.com/rss,Sports,ESPN
http://www.espn.com/espn/rss/ncb/news,Sports,ESPN
http://www.espn.com/espn/rss/ncf/news,Sports,ESPN
http://www.espn.com/espn/rss/news,Sports,ESPN
https://api.foxsports.com/v1/rss,Sports,Fox Sports
https://api.foxsports.com/v1/rss?tag=nfl,Sports,Fox Sports
https://api.foxsports.com/v1/rss?tag=nhl,Sports,Fox Sports
https://api.foxsports.com/v1/rss?tag=nba,Sports,Fox Sports
https://api.foxsports.com/v1/rss?tag=mlb,Sports,Fox Sports
https://api.foxsports.com/v1/rss?tag=nascar,Sports,Fox Sports
https://api.foxsports.com/v1/rss?tag=cfb,Sports,Fox Sports
https://api.foxsports.com/v1/rss?tag=cbk,Sports,Fox Sports
https://news.ycombinator.com/rss,Technology,Y Combinator
https://www.nextbigfuture.com/feed,Technology,Next Big Future
https://www.engadget.com/rss.xml,Technology,Engadget
http://feeds.feedburner.com/TechCrunch,Technology,Tech Crunch
https://www.techmeme.com/feed.xml,Technology,Tech Meme
https://www.technologyreview.com/topnews.rss,Technology,Technology Review
https://www.techradar.com/rss,Technology,Tech Radar
https://www.wired.com/feed/rss,Technology,Wired
https://www.wired.com/feed/category/business/latest/rss,Business,Wired
https://www.wired.com/feed/category/culture/latest/rss,Entertainment,Wired
https://www.wired.com/feed/category/science/latest/rss,Science,Wired
http://feeds.arstechnica.com/arstechnica/index,Technology,Ars Technica
https://www.buzzfeed.com/usnews.xml,News,Buzzfeed
https://www.buzzfeed.com/tvandmovies.xml,Entertainment,Buzzfeed
https://www.buzzfeed.com/health.xml,Health,Buzzfeed
https://www.buzzfeed.com/travel.xml,Lifestyle,Buzzfeed
https://www.buzzfeed.com/tech.xml,Technology,Buzzfeed
https://www.buzzfeed.com/sports.xml,Sports,Buzzfeed
https://www.buzzfeed.com/business.xml,Business,Buzzfeed
http://feeds.mashable.com/Mashable,Entertainment,Mashable
https://www.polygon.com/rss/index.xml,Entertainment,Polygon
http://blog.viacom.com/feed/rss/,Entertainment,Viacom
https://www.theguardian.com/world,News,The Guardian
https://www.theguardian.com/us-news,News,The Guardian
https://www.theguardian.com/world/americas,News,The Guardian
https://www.theguardian.com/us/sport,Sports,The Guardian
https://www.theguardian.com/us/culture,Entertainment,The Guardian
https://www.theguardian.com/us/business,Business,The Guardian
https://www.theguardian.com/science,Science,The Guardian
https://www.theguardian.com/us/technology,Technology,The Guardian
